GalaxyName,Class,LabelConfidence,HecatePGC,HecateObjectName,HecateDistanceMpc,RA_deg,DEC_deg,GalacticLongitudeDeg,GalacticLatitudeDeg,AbsGalacticLatitudeDeg,low_latitude_screen_24deg,RmsLogTPG,WeightedRmsLogTPG,MeanLogResidualTPG,OuterMeanLogResidualTPG
NGC3109,C,Medium,29128,NGC3109,1.291,150.778652,-26.159486,253.762265,23.070239,23.070239,true,0.17587234171290073,0.1276712569271377,0.1284165505065754,0.24323203399945445
UGC02023,C,Medium,9726,UGC02023,10.09,38.325589,33.490878,9.676685,-24.739794,24.739794,false,0.36128467205840453,0.36128467205840453,-0.3204878860728567,-0.13405756355763881
UGC03580,C,High,19867,UGC03580,21.61,103.878625,69.562972,10.146886,25.646021,25.646021,false,0.2802959298721784,0.1981222408564065,-0.20766259766943554,-0.02826773160231698
UGC00128,A,Medium,913,UGC00128,65.19,3.462141,35.994269,41.402813,-26.258432,26.258432,false,0.1386447629375734,0.12205343000393168,0.10357978564472306,0.08123670947923624
NGC2366,C,Medium,21102,NGC2366,3.278,112.225277,69.214964,9.444515,28.535541,28.535541,false,0.2508787810858514,0.24899858919782095,-0.21134207529692392,-0.18171844212426957
UGC01281,C,Medium,6699,UGC01281,5.267,27.381666,32.588889,18.993443,-28.705754,28.705754,false,0.08991449042974624,0.09777728354980994,0.013184890655322277,0.08381164178545708
NGC2403,A,Medium,21396,NGC2403,3.172,114.214237,65.602420,5.294604,29.185838,29.185838,false,0.08492742247183999,0.08070368767344602,0.06321035124227906,0.11238468328079049
UGC11820,B,Low,67421,UGC11820,18.78,327.368783,14.230856,85.525147,-29.515832,29.515832,false,0.12847452577308233,0.079039462847426,0.03886365745393279,-0.06288730140867503
NGC6503,A,High,60921,NGC6503,6.16,267.360459,70.144333,55.291247,30.640757,30.640757,false,0.07249888703656807,0.05420055983274806,0.04779658294446164,0.08497209745569304
UGC04305,C,High,23324,UGC04305,3.383,124.768125,70.721674,11.588807,32.687268,32.687268,false,0.5953640383387954,0.6278219045683827,-0.5497997445393156,-0.6880142934317922
ESO444-G084,B,Low,48111,ESO444-084,4.529,204.334256,-28.044785,200.742968,33.738268,33.738268,false,0.2899819227378441,0.27736252283796364,0.27160053859773575,0.3657404977946371
UGC12732,B,Medium,72087,UGC12732,14.25,355.165833,26.236111,52.126249,-33.983948,33.983948,false,0.12403554068381002,0.1170290066520965,0.09518183536445901,0.0038524610579385734
UGC04483,B,Low,24213,UGC04483,3.426,129.264166,69.776389,10.897668,34.380743,34.380743,false,0.2192590411744578,0.19544436958451306,-0.20392298105308182,-0.16292491567546746
UGC01230,B,Medium,6451,UGC01230,55.36,26.385459,25.520904,17.855439,-35.761877,35.761877,false,0.20400259008403546,0.21110357901342275,0.023139335068032618,-0.08659275596840016
UGC04499,C,Medium,24242,UGC04499,10.86,129.422871,51.652396,348.772803,37.195510,37.195510,false,0.1374451341484661,0.10928411360789199,-0.09614671949256214,-0.08344845963530255
NGC1705,C,High,16282,NGC1705,5.461,73.556247,-53.361026,254.785389,-38.743364,38.743364,false,0.3544171253297385,0.3305618896523113,0.35011195491722447,0.39182245883134537
NGC2683,A,Medium,24930,NGC2683,9.043,133.172916,33.422500,325.409865,38.761458,38.761458,false,0.06034959878224283,0.05008492149050136,-0.01913306495512685,-0.06468317885481123
NGC2976,C,High,28120,NGC2976,3.56,146.814611,67.916263,11.949339,40.902634,40.902634,false,0.23911120285473964,0.2168690168482697,-0.14955635048991006,-0.02873247288958129
UGC12506,B,Medium,71078,UGC12506,103,349.877174,16.074836,62.932838,-41.380110,41.380110,false,0.27880908749995903,0.21939654351971366,0.20146762366731,0.0673664703260039
NGC6195,B,Low,58596,NGC6195,140,249.135732,39.027940,93.552456,42.142589,42.142589,false,0.12364728243358383,0.10760387428917592,-0.11498113477392173,-0.1384382842768175
UGC09992,C,High,55809,UGC09992,11.27,235.449600,67.253799,53.673153,42.365813,42.365813,false,0.3078874788247855,0.3078874788247855,-0.2810832341024226,-0.4027086978297685
UGC05005,B,Medium,26659,UGC05005,55.25,141.122291,22.274989,308.906983,43.067173,43.067173,false,0.2182228787554866,0.2351139689560879,-0.1550471144742365,-0.027542750979401037
IC2574,C,Medium,30819,IC2574,3.835,157.097919,68.412094,15.656976,43.607249,43.607249,false,0.2212852604104018,0.37672872068676655,-0.18630196401907664,-0.10360345627546562
NGC6015,B,Low,56219,NGC6015,17.71,237.855228,62.310035,60.171472,44.124450,44.124450,false,0.11117103332365424,0.12946937531704747,0.08007056520045747,0.08071223776219902
NGC2841,B,Medium,26512,NGC2841,14.51,140.511066,50.976618,348.921964,44.151290,44.151290,false,0.21698421991779743,0.2058237642701795,0.2154824346997251,0.21082710133836716
NGC2903,B,Low,27077,NGC2903,9.432,143.042052,21.501566,307.153354,44.540246,44.540246,false,0.2551524631611705,0.07213575156193702,-0.06377465204455443,0.033443139042793966
NGC7814,B,Medium,218,NGC7814,14.39,0.812559,16.145619,49.454332,-45.174603,45.174603,false,0.10524204894337316,0.1100288938002806,0.07594273663378276,0.1367926939063042
UGC10310,C,Medium,57678,UGC10310,15.85,244.074585,47.045322,82.240189,45.529721,45.529721,false,0.08725325841069166,0.08725325841069166,-0.0022378105259810077,-0.0993251372033368
NGC0100,B,Low,1525,NGC0100,18.5,6.012109,16.486812,42.384048,-45.881660,45.881660,false,0.2128607455600286,0.17606498404621476,-0.052314318382513755,0.11739379550573951
NGC5985,B,Medium,55725,NGC5985,50.12,234.904481,59.331984,62.884559,46.829450,46.829450,false,0.3054049171569296,0.26756105633941984,0.28832083078006177,0.19741902659184776
UGC05918,C,High,32405,UGC05918,7.08,162.403989,65.531273,14.960784,47.121501,47.121501,false,0.1424106798237582,0.1424106798237582,0.09035337421005707,-0.011499489414852857
NGC2955,B,Medium,27666,NGC2955,107.1,145.319266,35.882203,327.418281,48.942366,48.942366,false,0.078789970542943,0.07757914538811893,-0.04795974116724788,-0.06318080707879575
UGC00891,B,Medium,4913,UGC00891,12.89,20.329567,12.411670,21.586922,-49.800735,49.800735,false,0.1704878739909504,0.0731247918680982,-0.07342866374032672,0.07018228324117978
NGC2998,B,Medium,28196,NGC2998,61.25,147.181791,44.081386,340.145688,49.810212,49.810212,false,0.2823492749298233,0.06589686017845635,0.13730700787559103,-0.03897961758609573
ESO116-G012,A,Medium,11984,ESO116-012,17.57,48.269751,-57.357181,242.586711,-50.825085,50.825085,false,0.11848399417990181,0.12713161761449251,0.08740041628760321,0.14812480821478619
NGC5907,C,Medium,54470,NGC5907,16.87,228.973151,56.329150,64.278901,51.087108,51.087108,false,0.0841662740195239,0.055098057978072844,0.0072837461275072025,-0.03640972741837571
UGC00191,A,High,1292,UGC00191,17.81,5.021257,10.879194,45.283726,-51.239075,51.239075,false,0.12435549865651069,0.06219116578288717,0.07036626165760344,-0.013298173039108734
NGC1090,B,Low,10507,NGC1090,30.2,41.641373,-0.247144,342.354838,-51.443837,51.443837,false,0.1854122935734614,0.11134029530038742,-0.11051399461321937,-0.09530886071992499
NGC3521,C,Medium,33550,NGC3521,13.35,166.453122,-0.034759,260.332405,52.830543,52.830543,false,0.03581668915593801,0.04322182962478045,0.017857725312504798,0.027976993588562548
NGC3198,A,Medium,30197,NGC3198,14.39,154.978848,45.549724,344.645305,54.828720,54.828720,false,0.15622471827065462,0.02257788397169178,-0.050659144165092145,-0.0055762312095928935
UGC00634,B,Low,3667,UGC00634,26.35,15.354664,7.625877,28.599928,-55.161901,55.161901,false,0.08164438442542941,0.08827803000131597,0.06686097491446599,0.09901402517275104
UGC05999,B,Low,32661,UGC05999,48.08,163.246370,7.620339,273.627175,55.829868,55.829868,false,0.13067099279971697,0.13067099279971697,-0.054779145530043684,-0.04613977586248776
NGC5585,A,Medium,51210,NGC5585,8.102,214.950810,56.729389,54.867017,56.474602,56.474602,false,0.17385834978096246,0.17568893069732475,-0.10172339388585792,0.03928403224748434
UGC05750,B,Low,31386,UGC05750,59.74,158.938083,20.990274,299.147246,58.522617,58.522617,false,0.3786440920012937,0.46398973116037534,-0.25246480764376433,-0.11062891070495828
UGC05716,A,High,31081,UGC05716,20.19,157.930283,25.307658,307.624437,58.711138,58.711138,false,0.1132345818056046,0.12126741259136126,0.09070286172402825,0.009280228312582193
UGC06446,C,Medium,35202,UGC06446,18.59,171.668573,53.746665,8.303278,59.139917,59.139917,false,0.19447788980183073,0.2068916878690741,0.16208714810990607,0.043548618225673096
NGC3972,A,Medium,37466,NGC3972,20.59,178.937894,55.320726,17.015807,60.053377,60.053377,false,0.10166615298086552,0.09799160786312039,0.03335417569812013,0.05122020059606987
UGC05764,A,High,31477,UGC05764,6.886,159.181018,31.546472,319.684865,60.427280,60.427280,false,0.32946836418208936,0.31199299874275743,0.2827443656665817,0.11462869859479019
UGC08837,C,High,49448,UGC08837,7.2,208.690625,53.902542,52.165604,60.797350,60.797350,false,0.43966010562513924,0.4859017650348513,-0.39713207086872127,-0.21502996813581765
UGC06399,B,Low,34971,UGC06399,20.92,170.846736,50.892708,3.784734,60.960512,60.960512,false,0.1036276319988147,0.10136625745494557,0.059400490510997016,0.08030120019718485
UGC05829,C,Medium,31923,UGC05829,7.98,160.676274,34.448694,325.794179,61.531910,61.531910,false,0.13851184878824246,0.13851184878824246,0.011351142138111244,-0.12625461666125712
NGC3992,B,Medium,37617,NGC3992,25.63,179.399919,53.374515,15.772171,61.923346,61.923346,false,0.09087628038989613,0.08664079258364318,0.07507806514156817,0.04727030927256426
UGC06923,B,Low,37553,UGC06923,16.71,179.206623,53.160346,15.348973,62.063857,62.063857,false,0.14984217272498349,0.1163217033139723,-0.11087603171917922,-0.05827615976109604
UGC06667,B,Low,36343,UGC06667,18.84,175.609542,51.597995,9.594730,62.290137,62.290137,false,0.4756139409991908,0.47960935798021065,0.43954784243870587,0.25939340228331753
NGC3953,B,Medium,37306,NGC3953,18.93,178.454225,52.326687,13.646272,62.590354,62.590354,false,0.051392332808949344,0.04950627064794719,0.011070613908456255,-0.0422404376752879
UGC06983,B,Low,37735,UGC06983,21.76,179.788908,52.707680,15.594733,62.625164,62.625164,false,0.12284433230243166,0.13587805813943715,0.09041855280480565,0.02413485190768126
NGC3917,A,Medium,37036,NGC3917,16.99,177.689449,51.824457,12.213989,62.793883,62.793883,false,0.1435992820003397,0.1459637045592662,-0.00889462959112965,0.004613324394246285
UGC09037,B,Low,50455,UGC09037,71.24,212.121423,7.057922,167.084234,62.851684,62.851684,false,0.2619463846432895,0.27858284235300873,-0.23641112143263154,-0.18092088435338038
NGC4068,A,Medium,38148,NGC4068,4.355,181.008213,52.589126,16.955575,63.043845,63.043845,false,0.49984193509959274,0.40003148678470263,-0.4367344827547879,-0.21587047941602722
UGC06917,C,High,37525,UGC06917,19.31,179.119875,50.428389,12.393758,64.451689,64.451689,false,0.07149015222180666,0.07272213666633957,0.052493382455642806,0.04059826558127363
NGC3769,B,Medium,35999,NGC3769,13.94,174.433757,47.893123,3.142045,64.749349,64.749349,false,0.10067396955043743,0.09153428992103506,-0.06902011145594833,0.0005010208994328507
NGC3726,B,Medium,35676,NGC3726,13.94,173.338209,47.029083,0.484975,64.878830,64.878830,false,0.15244827935579044,0.16233523946119086,-0.12892545113701281,-0.03941087249778426
NGC4088,B,Medium,38302,NGC4088,14.96,181.391307,50.538839,15.526951,65.010938,65.010938,false,0.21721397165560052,0.2176873171794884,-0.21230964338618333,-0.19170906145287608
NGC4085,B,Medium,38283,NGC4085,19.47,181.344603,50.352917,15.277094,65.167065,65.167065,false,0.28410930391972655,0.2362007945812051,-0.2055662328127667,-0.09253358608580468
NGC3893,B,Medium,36875,NGC3893,17.38,177.159112,48.710766,7.708746,65.227379,65.227379,false,0.04334418589349851,0.04561462267518684,0.01632989001789794,0.02404515732636036
NGC4157,B,Medium,38795,NGC4157,16.95,182.768023,50.484962,17.392418,65.407920,65.407920,false,0.116673835177232,0.11296227442435143,-0.10137351612637964,-0.049899221502169834
UGC06930,B,Low,37584,UGC06930,16.98,179.322396,49.283283,11.317817,65.510627,65.510627,false,0.07647918294699246,0.0690531709733815,-0.022560384428810205,-0.07357584280249159
NGC4100,B,Medium,38370,NGC4100,20.06,181.535652,49.582772,14.753942,65.916277,65.916277,false,0.06648998276425866,0.0653310310599176,0.042201130072219435,-0.0037210936594580324
NGC3877,B,Medium,36699,NGC3877,15.53,176.532450,47.494712,5.144588,65.956443,65.956443,false,0.25387613985360946,0.1853811081373492,-0.11272752230192233,-0.13219399225888417
PGC51017,B,Low,51017,PGC051017,14.37,214.258275,43.505450,73.900981,66.195307,66.195307,false,0.6623991909540958,0.7034914919932981,-0.5772020463354703,-0.8070693714423146
NGC3949,B,Medium,37290,NGC3949,18.69,178.423842,47.858768,8.230219,66.405718,66.405718,false,0.05749185848821877,0.06536726108773577,-0.040834023696075125,-0.0032347020597768526
NGC3741,C,Medium,35878,NGC3741,3.209,174.024806,45.285328,358.294566,66.444966,66.444966,false,0.2044178436698662,0.1985342284161903,0.13772273024649115,0.26488897319096355
UGC06628,C,High,36188,UGC06628,16.98,175.027811,45.942918,0.701296,66.467844,66.467844,false,0.5345331898609412,0.5345331898609412,-0.5099461545923993,-0.669809105389946
NGC4010,B,Medium,37697,NGC4010,18.34,179.657429,47.261246,9.189421,67.358705,67.358705,false,0.13292126052942171,0.11860328664089867,-0.08492966879504167,-0.020720861763987304
UGC06818,C,Medium,37038,UGC06818,19.89,177.695633,45.807231,4.106792,67.778237,67.778237,false,0.3083379127269497,0.31706827469129834,-0.19734453046542016,0.03318127728146156
UGCA281,B,Medium,40665,PGC040665,5.768,186.567629,48.493856,21.712344,68.082468,68.082468,false,0.08742791144948167,0.09661612633905749,-0.0788150291427955,-0.06682109392025491
NGC4217,B,Low,39241,NGC4217,19.06,183.962198,47.091897,15.966403,68.846734,68.846734,false,0.3596054008630643,0.3254621945327624,-0.2647877114489128,-0.11232492279111617
NGC4051,B,Medium,38068,NGC4051,11.11,180.790416,44.531215,6.981247,70.085384,70.085384,false,0.1410442095562745,0.14113565817506143,-0.12836542396349018,-0.1898555674210974
NGC4013,B,Low,37691,NGC4013,19.72,179.630676,43.946812,3.998497,70.088893,70.088893,false,0.0674960114968144,0.06690964646769523,-0.03746562292767801,0.02441366167801984
UGC06614,B,Medium,36122,UGC06614,93.21,174.811919,17.143614,275.762279,70.563715,70.563715,false,0.14367245189609174,0.1615288845284665,-0.11529554818454685,-0.016737568215504865
NGC4389,B,Medium,40537,NGC4389,10.24,186.394408,45.685192,19.132913,70.743908,70.743908,false,0.6066849847657739,0.6378066841045625,-0.5570056912314951,-0.3266879057413584
NGC5371,B,Low,49514,NGC5371,32.95,208.916420,40.461699,73.690989,71.196114,71.196114,false,0.17354159566622637,0.17808617044640654,-0.10583489841344997,-0.22023028041482157
NGC4138,B,Medium,38643,NGC4138,15.89,182.374043,43.685272,8.558707,71.403774,71.403774,false,0.054860375822555846,0.07067868911093145,-0.00015482620945893075,-0.03417001270822538
UGC07089,B,Medium,38356,UGC07089,11.8,181.491000,43.143794,5.944484,71.522118,71.522118,false,0.20752044627651137,0.22505252194381345,-0.19434959939811922,-0.13032260909756707
NGC4183,A,Medium,38988,NGC4183,16.51,183.320361,43.698500,10.466400,71.727052,71.727052,false,0.06779379362204273,0.06892587948974359,-0.004924042088494829,-0.04143395190242853
UGC07577,C,High,40904,UGC07577,2.648,186.922548,43.495736,18.111016,72.942559,72.942559,false,0.6544671323629726,0.6544671323629727,-0.6345427699750499,-0.5871414882453834
UGC07608,C,High,41063,UGC07608,7.586,187.185232,43.224294,18.446573,73.259801,73.259801,false,0.24649497063019724,0.24649497063019726,0.18157248291510278,0.21551194970897414
UGC07690,C,Medium,41576,UGC07690,7.482,188.112132,42.704081,20.222242,73.952362,73.952362,false,0.07725012297612559,0.07725012297612559,-0.03846550367783764,-0.10371800153332449
NGC5055,C,High,46153,NGC5055,8.917,198.955396,42.029278,49.866442,74.287644,74.287644,false,0.11753645292056521,0.11754221761997012,-0.11649499341173593,-0.10873100548668939
UGCA442,B,Low,72228,ESO471-006,4.375,355.943093,-31.956949,145.165385,-74.531590,74.531590,false,0.10554847181784024,0.1578731375017661,0.03316988334138195,0.14316871028721304
NGC0055,C,High,1014,NGC0055,2.055,3.723367,-39.196582,182.981762,-75.730957,75.730957,false,0.204516651144834,0.22264151545611444,-0.18868182414791224,-0.14700864179111753
UGC07125,C,Medium,38567,UGC07125,21.06,182.175535,36.802663,352.525099,76.761502,76.761502,false,0.33830959351175816,0.3178190994654383,-0.33054555320754075,-0.39146394216124636
NGC7793,B,Medium,73049,NGC7793,3.431,359.457591,-32.591074,151.348423,-77.171367,77.171367,false,0.18538296587543052,0.14971288970938834,-0.04135466764688734,0.00603441776310523
NGC4214,C,Medium,39225,NGC4214,2.967,183.914291,36.326393,355.611011,78.075486,78.075486,false,0.2891178571980579,0.2586571121157544,0.26196967095787893,0.32148103345529055
UGC07559,C,High,40791,UGC07559,4.952,186.771576,37.142779,7.268593,78.743371,78.743371,false,0.3422881642697357,0.34228816426973563,-0.32191166282069217,-0.23586160831545877
NGC5005,B,Medium,45749,NGC5005,18.7,197.734470,37.058994,54.250605,79.249166,79.249166,false,0.05066329059977805,0.06019076378769548,-0.02127957783854331,0.01878349876160547
NGC0300,C,Medium,3238,NGC0300,1.94,13.723024,-37.684477,216.656030,-79.418784,79.418784,false,0.12178557069960357,0.12240301246093983,0.0939378508682825,0.1411304194487859
NGC5033,B,Low,45948,NGC5033,16.85,198.364629,36.593767,57.804635,79.447942,79.447942,false,0.06848435587655478,0.05686533267128068,0.013731434280265397,0.01813096624236553
NGC0024,B,Medium,701,NGC0024,7.622,2.484770,-24.963769,112.177186,-80.434241,80.434241,false,0.2894402519439305,0.2748288191408677,0.26572560487371366,0.26604226837025247
NGC0247,B,Low,2758,NGC0247,3.641,11.785718,-20.760450,41.915887,-83.557147,83.557147,false,0.06641218963491793,0.09048366396690698,0.02813996438612904,-0.002956065889610976
IC4202,B,Low,45549,IC4202,113.8,197.131582,24.700815,154.265687,85.455510,85.455510,false,0.2694954395023193,0.33251321051372407,-0.04695038113002626,0.012638493352612757
NGC0289,B,Low,3089,NGC0289,22.88,13.176354,-31.205806,216.737514,-85.913074,85.913074,false,0.07849572787700726,0.0702416245432141,-0.045500237294140086,-0.07425827658023725
NGC4559,A,Medium,42002,NGC4559,8.784,188.990341,27.959684,317.445147,86.470277,86.470277,false,0.1339343366772832,0.12188316903564113,-0.13009801754667558,-0.12189298623593117
